Time,Closing,Dividen yield,Growth,conti,annual,Dividen,DividenMonth,warton,,
34486,4025.25,2.44,1.038188932,0.037477784,0.449733407,0.024107075,0.002032168,8.1883,0.002032168,0.002008923
34516,4178.97,2.34,1.040806706,0.039996091,0.479953095,0.023130417,0.001955507,8.18,0.001955507,0.001927535
34547,4349.5,2.23,1.001075986,0.001075407,0.012904887,0.022054991,0.001864383,8.1167,0.001864383,0.001837916
34578,4354.18,2.24,0.985639087,-0.014465029,-0.173580346,0.022152805,0.001871734,8.1575,0.001871734,0.001846067
34608,4291.65,2.29,0.953807976,-0.047292911,-0.56751493,0.02264173,0.001909631,8.2033,0.001909631,0.001886811
34639,4093.41,2.43,1.029364271,0.028941399,0.347296787,0.024009452,0.00202701,8.3058,0.00202701,0.002000788
34669,4213.61,2.39,0.953453215,-0.047664922,-0.571979065,0.023618866,0.001990963,8.3975,0.001990963,0.001968239
34700,4017.48,2.53,1.026715752,0.026365118,0.316381413,0.024985253,0.002107111,8.4742,0.002107111,0.002082104
34731,4124.81,2.44,1.045771805,0.044755182,0.537062189,0.024107075,0.002037605,8.4133,0.002037605,0.002008923
34759,4313.61,2.36,0.992085515,-0.00794597,-0.095351645,0.023325825,0.001968962,8.5017,0.001968962,0.001943819
34790,4279.47,2.4,1.039530596,0.038769261,0.465231136,0.023716527,0.002004267,8.5858,0.002004267,0.001976377
34820,4448.64,2.31,1.01764809,0.017494171,0.209930051,0.022837234,0.001928123,8.5858,0.001928123,0.001903103
34851,4527.15,2.27,1.019416189,0.0192301,0.230761196,0.022446189,0.002038763,9.2392,0.002038763,0.001870516
34881,4615.05,2.27,0.978689288,-0.021541063,-0.258492761,0.022446189,0.001893267,8.7458,0.001893267,0.001870516
34912,4516.7,2.31,1.002889278,0.002885112,0.03462134,0.022837234,0.001928023,8.7167,0.001928023,0.001903103
34943,4529.75,2.31,0.984416359,-0.015706343,-0.188476114,0.022837234,0.001925778,8.7317,0.001925778,0.001903103
34973,4459.16,2.36,1.045304497,0.044308227,0.53169873,0.023325825,0.001967783,8.7833,0.001967783,0.001943819
35004,4661.18,2.28,1.011233207,0.011170583,0.134046997,0.022543964,0.001906497,8.895,0.001906497,0.001878664
35034,4713.54,2.27,1.05407613,0.052664677,0.631976121,0.022446189,0.001897684,8.9533,0.001897684,0.001870516
35065,4968.43,2.19,0.99301389,-0.007010627,-0.084127529,0.02166364,0.001824023,9.0708,0.001824023,0.001805303
35096,4933.72,2.18,1.007521708,0.007493561,0.089922729,0.021565778,0.001817623,8.9758,0.001817623,0.001797148
