Date, ZC100YR, ZC300YR, ZC500YR, ZC700YR, ZC1000YR, ZC1200YR, ZC1400YR, ZC1500YR, 
4/1/2005,0.028548625,0.034186393,0.038165855,0.041619558,0.043412736,0.044033033,0.045192275,0.045935598, 
5/2/2005,0.027086578,0.032501169,0.036483719,0.040040473,0.04188324,0.042555309,0.043821164,0.044627784, 
6/1/2005,0.025657753,0.029369277,0.033335371,0.036676891,0.039033683,0.040187117,0.041612002,0.042366587, 
7/4/2005,0.02749796,0.030917266,0.034153927,0.03721831,0.039452953,0.04056341,0.041945629,0.042676158, 
8/2/2005,0.028945516,0.032155616,0.035337139,0.038173222,0.040377578,0.04144048,0.042632843,0.043234452, 
9/1/2005,0.027074216,0.029888972,0.032718624,0.035525451,0.037714018,0.038784374,0.040068434,0.040736602, 
10/3/2005,0.031923667,0.034165603,0.036235203,0.038240565,0.040068949,0.040977538,0.041910015,0.042359963, 
11/1/2005,0.034773592,0.036978406,0.038746784,0.040394589,0.041766802,0.042470369,0.043241068,0.043619452, 
12/1/2005,0.036604491,0.037737426,0.038527451,0.039410438,0.040446278,0.041030105,0.041613693,0.041895779, 
1/3/2006,0.037377179,0.038055601,0.038481625,0.038992309,0.03958107,0.039973247,0.040418969,0.040643509, 
2/1/2006,0.037875578,0.039320753,0.040267673,0.041008201,0.041724875,0.042127574,0.042537053,0.042731399, 
3/1/2006,0.039022281,0.039733487,0.040409325,0.040919538,0.041353292,0.04162332,0.041932991,0.042084777, 
4/3/2006,0.039770854,0.04059482,0.041773251,0.042435681,0.042687798,0.042810937,0.043040326,0.043177093, 
5/1/2006,0.04106206,0.04214206,0.043526016,0.044431489,0.04492913,0.045133318,0.04541978,0.045577026, 
6/1/2006,0.041552168,0.041514468,0.04251112,0.043234223,0.043791544,0.044060698,0.044324033,0.044445787, 
7/4/2006,0.043962805,0.044128732,0.044748085,0.045292564,0.045800481,0.046072827,0.046337947,0.046456343, 
8/1/2006,0.041426259,0.040921868,0.041615863,0.04226889,0.04298279,0.04339547,0.043760254,0.043908059, 
9/1/2006,0.04013454,0.038993349,0.039412574,0.039852416,0.040500693,0.041028592,0.041548518,0.041765433, 
10/2/2006,0.039742993,0.038222926,0.038392427,0.038845415,0.03955664,0.040041325,0.040491575,0.040682509, 
11/1/2006,0.040002117,0.038330613,0.038472368,0.038954229,0.039681796,0.040143582,0.040555541,0.040725093, 
12/1/2006,0.038939023,0.036914381,0.037162944,0.037743031,0.038529568,0.039021854,0.039476823,0.039671463, 
1/2/2007,0.040510818,0.038968161,0.039288478,0.039847589,0.040414914,0.040751504,0.041096958,0.041253306, 
2/1/2007,0.041468258,0.040395536,0.040744425,0.041279845,0.041747125,0.042035577,0.042352803,0.042496132, 
3/1/2007,0.040060571,0.038631095,0.039049254,0.039516442,0.040097091,0.040539128,0.040969551,0.041145268, 
4/2/2007,0.040584927,0.039367503,0.039814394,0.040346826,0.041025726,0.041511859,0.041977051,0.042169087, 
5/1/2007,0.041919848,0.040647047,0.040639728,0.04095876,0.041322442,0.041620444,0.041948705,0.04209104, 
6/1/2007,0.04495548,0.045373212,0.044953013,0.044695055,0.044502127,0.044352729,0.044169588,0.044072319, 
7/3/2007,0.045654295,0.045186481,0.045037911,0.045020632,0.044897451,0.044904023,0.044972365,0.045000491, 
8/1/2007,0.046374904,0.045381671,0.045004234,0.044739392,0.044476773,0.044531709,0.044676339,0.044735736, 
9/4/2007,0.042972708,0.042991034,0.043112539,0.043300197,0.04354358,0.043793254,0.04408583,0.04421849, 
10/1/2007,0.040946958,0.040911858,0.041593485,0.042219274,0.042977303,0.043451066,0.043888806,0.044076207, 
11/1/2007,0.041075048,0.040800196,0.041199198,0.041589379,0.04224685,0.042736401,0.043173553,0.043345765, 
12/3/2007,0.037051763,0.035768254,0.036838911,0.037693708,0.038880439,0.039746623,0.040534458,0.040853634, 
1/2/2008,0.036641277,0.036651317,0.037588058,0.038251894,0.039156571,0.039819298,0.04044418,0.040701001, 
2/1/2008,0.031734202,0.032585742,0.034944962,0.036587998,0.03876924,0.040136591,0.041242411,0.041659175, 
3/3/2008,0.027698685,0.028997507,0.031867626,0.034114186,0.037290038,0.039188553,0.040643088,0.041169957, 
4/1/2008,0.026463584,0.029150401,0.031286149,0.033544514,0.036919609,0.03884337,0.040316518,0.040860621, 
5/1/2008,0.026728442,0.028889957,0.031216635,0.033476655,0.037097082,0.039225601,0.040805596,0.04136039, 
6/2/2008,0.027231508,0.030437897,0.032445227,0.034574141,0.037744064,0.03959298,0.041076745,0.041638936, 
7/2/2008,0.031045222,0.033432601,0.034623446,0.036048531,0.038513428,0.040089127,0.041339566,0.041791618, 
8/1/2008,0.027676294,0.030386273,0.032373977,0.034175525,0.037291528,0.039504056,0.041350153,0.04203113, 
